variant,variant_label,outcome,outcome_label,excluded_reporter_code,excluded_country,excluded_iso3,years,mean_spearman,median_spearman,min_spearman,max_spearman,share_positive,min_year_countries,max_year_countries
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,566,Nigeria,NGA,25,0.4100422916439566,0.41572646471975333,0.26773908378605055,0.4607296386662019,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,807,North Macedonia,MKD,25,0.41371677438027715,0.41798657718120813,0.278328510226749,0.4684832455115193,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,579,Norway,NOR,25,0.41019329715046937,0.41337144828605926,0.26950335854445445,0.46165911467410237,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,512,Oman,OMN,25,0.41539104004091615,0.418526409146559,0.27517397184716164,0.4661253835797128,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,586,Pakistan,PAK,25,0.42541429697624844,0.4297590930562117,0.28710832722574403,0.4786733096863702,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,591,Panama,PAN,25,0.41564911925458886,0.41921278667347905,0.27664357116411914,0.46633041505204376,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,600,Paraguay,PRY,25,0.4210293339996917,0.42550698349356064,0.2792540933441129,0.4705540633820624,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,604,Peru,PER,25,0.41455541567721665,0.41768211920529796,0.2745468420615192,0.4646833288909848,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,608,Philippines,PHL,25,0.4137847825489051,0.4168246775880097,0.2736137031636053,0.4642561799902951,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,616,Poland,POL,25,0.417752656976415,0.4204818584325226,0.2808294735887691,0.4693170401656654,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,620,Portugal,PRT,25,0.41849642672008897,0.4222551411641686,0.279919002032505,0.46881813024965996,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,634,Qatar,QAT,25,0.4141983523623992,0.418009697974608,0.2723821109339701,0.4646833288909848,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,410,Rep. of Korea,KOR,25,0.4104256616250144,0.41288515406162474,0.27110140613076034,0.46191540401451614,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,498,Rep. of Moldova,MDA,25,0.4107349246957092,0.41396402566105345,0.2742106098270482,0.46422200807824,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,642,Romania,ROU,25,0.41514102742541215,0.41875777235788036,0.2763753409545973,0.46459106472843575,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,643,Russian Federation,RUS,25,0.40927665547474007,0.4119711181591201,0.27583041197614544,0.4596839781573138,1.0,130,154
