product_id,classification_code,cmd_code,product_label,primary_strict,primary_broad,primary_strict_rule,primary_broad_rule
HS1992:282410,H0,282410,"Lead monoxide (litharge, massicot)",False,False,not_primary_strict,not_primary_broad
HS1992:282810,H0,282810,Commercial calcium hypochlorite and other calcium hypochlorites,False,False,not_primary_strict,not_primary_broad
HS1992:283323,H0,283323,Other sulphates:-- Of chromium,False,False,not_primary_strict,not_primary_broad
HS1992:283326,H0,283326,Other sulphates:-- Of zinc,False,False,not_primary_strict,not_primary_broad
HS1992:290532,H0,290532,"Diols:-- Propylene glycol (propane-1,2-diol)",False,False,not_primary_strict,not_primary_broad
HS1992:291412,H0,291412,Acyclic ketones without other oxygen function :-- Butanone (methyl ethyl ketone),False,False,not_primary_strict,not_primary_broad
HS1992:381210,H0,381210,Prepared rubber accelerators,False,False,not_primary_strict,not_primary_broad
HS1992:701710,H0,701710,Of fused quartz or other fused silica,False,False,not_primary_strict,not_primary_broad
HS1992:800200,H0,800200,Tin waste and scrap.,False,True,not_primary_strict,broad_first_stage_metals_scrap
HS1992:830130,H0,830130,Locks of a kind used for furniture,False,False,not_primary_strict,not_primary_broad
HS1992:844811,H0,844811,"Auxiliary machinery for machines of heading No. 84.44, 84.45, 84.46 or 84.47 :-- Dobbies and Jacquards; card reducing, copying, punching or assembling machines for use therewith",False,False,not_primary_strict,not_primary_broad
HS1992:844841,H0,844841,Parts and accessories of weaving machines (looms) or of their auxiliary machinery :-- Shuttles,False,False,not_primary_strict,not_primary_broad
HS1992:844849,H0,844849,Parts and accessories of weaving machines (looms) or of their auxiliary machinery :-- Other,False,False,not_primary_strict,not_primary_broad
HS1992:110520,H0,110520,"Flakes, granules and pellets",False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:130232,H0,130232,"Mucilages and thickeners, whether or not modified, derived from locust beans, locust bean seeds or guar seeds",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:160241,H0,160241,Of swine :-- Hams and cuts thereof,False,False,not_primary_strict,not_primary_broad
HS1992:271220,H0,271220,Paraffin wax containing by weight less than 0.75 % of oil,False,True,not_primary_strict,broad_all_fuels_refinery_hs27
HS1992:280480,H0,280480,Arsenic,False,False,not_primary_strict,not_primary_broad
HS1992:280490,H0,280490,Selenium,False,False,not_primary_strict,not_primary_broad
