country,iso3,reporter_code,snapshot,year,flow,source_raw_file,active_nonenergy_products,total_nonenergy_imports,gini,theil,hhi,direct_active_gini,direct_active_hhi,fixed_nonenergy_universe_count,top10_share,top5_share,top5_gini_contribution,top5_theil_contribution,top5_hhi_contribution,rank6_50_share,rank6_50_gini_contribution,rank6_50_theil_contribution,rank6_50_hhi_contribution,rank51_200_share,rank51_200_gini_contribution,rank51_200_theil_contribution,rank51_200_hhi_contribution,rank201_plus_share,rank201_plus_gini_contribution,rank201_plus_theil_contribution,rank201_plus_hhi_contribution
Aruba,ABW,533,end,2023,Imports,COMTRADE-FINAL-CA5332023H4[2024-03-14].gz,3588,1412838083.871,0.8795191558302351,2.427595254386612,0.007504508366172205,0.8795191558302351,0.007504508366172205,4924,0.20816675740935794,0.1488595343767986,0.14868476069310063,0.7484836402951947,0.004798978656791756,0.27720970606126455,0.27378480013847045,0.9710090003004281,0.002047270500389454,0.26583544012173094,0.24928042559958818,0.5890036469645201,0.0005207340748763899,0.30809531944020585,0.20776916939907594,0.11909896682646882,0.00013752513411460638
Australia,AUS,36,start,2000,Imports,COMTRADE-FINAL-CA0362000H1[2005-12-14].gz,4334,49053489668.0,0.8307782554443478,2.03201475543209,0.0075400994691375,0.8307782554443479,0.0075400994691375,4924,0.2022602325166731,0.14091003480687983,0.14078942065732963,0.71469388418991,0.005300457336832731,0.24215442130552314,0.23986911426690335,0.8320603750105238,0.001772723585024285,0.21319049583858857,0.20208108608367173,0.42327463782855934,0.00032791529483989894,0.4037450480490084,0.24803863443644317,0.06198585840309637,0.00013900325244058508
Australia,AUS,36,mid,2012,Imports,COMTRADE-FINAL-CA0362012H4[2013-04-08].gz,4523,179509418370.0,0.8637252172977095,2.193109733622199,0.007460372380595229,0.8637252172977088,0.007460372380595229,4924,0.2130756583956907,0.14760129384068038,0.14747026152271334,0.7443980140667954,0.0049158195978543815,0.2699374286981811,0.26740196317508214,0.9474551860430734,0.0020719589852176,0.2171061951254839,0.20622944504627908,0.4345131802439873,0.00033879318920095264,0.36535508233565456,0.2426235475536347,0.06674335326834277,0.00013380060832229483
Australia,AUS,36,end,2024,Imports,COMTRADE-FINAL-CA0362024H6[2025-02-15].gz,4632,248116711082.15897,0.8665010985725357,2.1413741497984216,0.006525544124565381,0.8665010985725357,0.006525544124565381,4924,0.19930402894017313,0.1361957823791107,0.13607212450394865,0.6732290429317263,0.004063348044223637,0.26380290740130335,0.26132783867926257,0.9160548250106348,0.0019392256280407643,0.22470612692427402,0.21394458639226527,0.46187496689996377,0.0003787655860150942,0.3752951832953121,0.2551565489970592,0.09021531495609658,0.00014420486628588546
Austria,AUT,40,start,2000,Imports,COMTRADE-FINAL-CA0402000H1[2002-09-01].gz,4431,50147148061.0,0.8019416634787551,1.7032263072530645,0.004248273124724954,0.8019416634787553,0.004248273124724954,4924,0.14243990760892455,0.09854034215443398,0.09845715738157076,0.4640182360447704,0.0025656854223459215,0.20903501265545274,0.20692620821889762,0.672029405512633,0.0011557496999826174,0.2198081636490754,0.20859390089121202,0.44290239053956215,0.00034752458297659955,0.4726164815410379,0.2879643969870748,0.12427627515609899,0.00017931341941981643
Austria,AUT,40,mid,2012,Imports,COMTRADE-FINAL-CA0402012H4[2019-06-22].gz,4670,131463465635.10298,0.8135578427420902,1.689962570208382,0.0037927927764635117,0.8135578427420898,0.0037927927764635117,4924,0.13718626722460428,0.09303533271621092,0.09295917009426638,0.42955300885247333,0.0021086619385121534,0.20727845949532087,0.20526902164336366,0.6631517570191575,0.0011226270706909158,0.22845766303780468,0.21744593812291796,0.4701781885370788,0.00037984214518313616,0.47122854475066367,0.29788371288154214,0.12707961579967214,0.0001816616220773071
Austria,AUT,40,end,2024,Imports,COMTRADE-FINAL-CA0402024H6[2025-07-07].gz,4761,182080437077.08997,0.8252771900193407,1.7163768800496502,0.003644270222992555,0.825277190019341,0.003644270222992555,4924,0.13387340673133566,0.09197733917630133,0.09190174824607529,0.42153649835384865,0.001960681599422563,0.20561769514692074,0.20364274321091858,0.6546448604553525,0.001087144849975258,0.23643448912000087,0.2252945951801446,0.49519856100207893,0.0004080326906239804,0.4659704765567773,0.30443810338220223,0.1449969602383701,0.0001884110829707533
Azerbaijan,AZE,31,start,2000,Imports,COMTRADE-FINAL-CA0312000H1[2002-09-01].gz,2685,881737759.9999999,0.8958229240498777,2.9900490916646087,0.015714656858589155,0.8958229240498778,0.015714656858589155,4924,0.29518354300716354,0.2125138419840385,0.21222479064135075,1.164689735123437,0.01188466922604701,0.3302722323633957,0.3251948646098762,1.2348999939056793,0.0032553494841658292,0.24985593562138025,0.23003475837903786,0.5494437025111523,0.0004994034494945374,0.2073579900311857,0.12836851041961297,0.04101566012434035,7.523469888177865e-05
Azerbaijan,AZE,31,mid,2012,Imports,COMTRADE-FINAL-CA0312012H4[2013-03-09].gz,3647,8704987412.0,0.8993892380419275,2.632448205721707,0.009044626247727264,0.8993892380419284,0.009044626247727264,4924,0.23939159235627394,0.16550654168826498,0.16530349573758246,0.8461954296813512,0.005685733202074107,0.31353835218329573,0.30982092543749606,1.1440618658750126,0.0027533778248684956,0.25908793747031444,0.24332264277298943,0.5688178182905959,0.0004995526070294602,0.26186716865812476,0.18094217409385993,0.07337309187474707,0.00010596261375519703
Azerbaijan,AZE,31,end,2024,Imports,COMTRADE-FINAL-CA0312024H6[2025-02-24].gz,4250,18775273195.160004,0.8860365186203213,2.7914917119054174,0.035162833670361715,0.8860365186203214,0.035162833670361715,4924,0.3232704190974326,0.2694925182304409,0.2693312270714181,1.6378293117480718,0.0334255011205359,0.21047648419095633,0.20831841093824893,0.6857350865203444,0.0012859872156369796,0.21527049592760966,0.2041141886109166,0.4340106220880069,0.0003483281549818137,0.3047605016509929,0.20427269199973755,0.03391669154899391,0.00010301717920702928
Bahamas,BHS,44,start,2000,Imports,COMTRADE-FINAL-CA0442000H1[2003-06-03].gz,3854,1557731289.0,0.8594853893797977,2.082112005902204,0.0040232568436250424,0.8594853893797976,0.0040232568436250424,4924,0.13817990210595302,0.08424444957104538,0.08415208769967387,0.3756655251311133,0.0015407497171777734,0.2582548206381955,0.255203890280377,0.8815122076484679,0.0017165111793831945,0.28371027765039647,0.2671756143908267,0.6455752803004683,0.0005858017848133654,0.37379045214036266,0.2529537970089202,0.17935899282215503,0.00018019416225070853
Bahamas,BHS,44,mid,2012,Imports,COMTRADE-FINAL-CA0442012H3[2013-09-22].gz,3917,2424409639.0000005,0.8700559790883348,2.1656496559251974,0.004699506151478473,0.8700559790883353,0.004699506151478473,4924,0.1504905721697249,0.10411922649747649,0.10400607620371057,0.4865708708803306,0.002335527891352683,0.25149496665155674,0.24853201772307637,0.8486806529522395,0.0015785759436069851,0.28927903695749463,0.27279628599278993,0.6653165673150805,0.0006146397213954481,0.3551067698934719,0.24472159916875777,0.16508156477754704,0.0001707625951233569
Bahamas,BHS,44,end,2024,Imports,COMTRADE-FINAL-CA0442024H6[2025-11-25].gz,4267,3842180697.0,0.8742626835984619,2.1015326649721633,0.004252118035015001,0.8742626835984615,0.004252118035015001,4924,0.1413062504655543,0.09125135965259365,0.09116371506361093,0.4151997449695133,0.001837589131227617,0.25587479170386923,0.2531278721013637,0.869304206847787,0.0016573385804117672,0.282739864053226,0.26776753099969686,0.6410942380095618,0.0005764934138075815,0.37013398459031116,0.26220356543379036,0.17593447514530147,0.00018069690956803525
Bahrain,BHR,48,start,2000,Imports,COMTRADE-FINAL-CA0482000H0[2003-06-03].gz,3501,2171500992.0,0.8747052338565706,2.5879792919989577,0.013972040240054577,0.8747052338565706,0.013972040240054577,4924,0.26139215735619614,0.2013583583939712,0.2011649464905031,1.1026202273357166,0.011555672933660903,0.25921798427619597,0.2559630033547255,0.893690529001277,0.0018532791815664329,0.24718884586169232,0.2315811347437881,0.5316141132143621,0.0004551952806157292,0.2922348114681405,0.18599614926755395,0.06005442244760198,0.00010789284421151118
Bahrain,BHR,48,mid,2012,Imports,COMTRADE-FINAL-CA0482012H3[2015-03-23].gz,4245,9882873039.999998,0.8959808361906231,2.6731768145116352,0.01515526449369216,0.8959808361906234,0.01515526449369216,4924,0.29334576345017993,0.23331377006134246,0.23310383917209976,1.2933192615882414,0.012896304992562573,0.250763007528406,0.2481730765425895,0.8567358888269743,0.0017405784405448775,0.23780179523105865,0.22542495007412394,0.5026664824479669,0.00042447486964093055,0.2781214271791932,0.18927897040181008,0.02045518164845248,9.390619094377702e-05
Bahrain,BHR,48,end,2024,Imports,COMTRADE-FINAL-CA0482024H6[2026-04-29].gz,4302,15257473032.637,0.9061612187924722,2.987108534599014,0.025594803204147684,0.9061612187924724,0.025594803204147684,4924,0.38355838861792985,0.2883776004574219,0.28814777404553826,1.6800537853161022,0.022595201795503048,0.2572417030401409,0.2549348132630158,0.9288352812349749,0.0026263930815871336,0.19797340020750914,0.1878437118293327,0.382783785226706,0.00029573682375500486,0.25640729629492814,0.1752349196545854,-0.004564317178769886,7.74715033025011e-05
Barbados,BRB,52,start,2000,Imports,COMTRADE-FINAL-CA0522000H1[2002-09-01].gz,3558,840833211.0,0.8413315265715265,2.072075059154017,0.004535363907049937,0.8413315265715264,0.004535363907049937,4924,0.14850579460710667,0.10492261585990088,0.10480020252518088,0.4914313285375603,0.0024090428655419776,0.23460735889082282,0.23154276490865455,0.7750203478738038,0.001378053687870803,0.28182512358446793,0.26388090616099746,0.6375395906972875,0.0005703684418667224,0.37864490166480824,0.24110765297669354,0.16808379204536536,0.00017789891177043358
Barbados,BRB,52,mid,2012,Imports,COMTRADE-FINAL-CA0522012H2[2013-03-29].gz,3549,1085491079.0,0.8559563188011254,2.181284808601213,0.005420104039945464,0.855956318801125,0.005420104039945464,4924,0.1531577463176922,0.10635563621025393,0.10624717978155415,0.5106045787470819,0.003067685953366089,0.25280777251021513,0.24942739276006573,0.8508581604054273,0.0015606120050891791,0.28942900713604114,0.27146104520436826,0.6692297239853136,0.0006306346929799993,0.3514075841434897,0.22882070105513738,0.1505923454633904,0.0001611713885101952
Barbados,BRB,52,end,2024,Imports,COMTRADE-FINAL-CA0522024H6[2025-03-11].gz,3844,1590857435.5,0.8525682054497967,2.044887026799099,0.004034298779568785,0.8525682054497972,0.004034298779568785,4924,0.13470744213072508,0.09280148310992382,0.09269852640621601,0.4230381586751583,0.0018564144566891884,0.2407838724674785,0.23780623240197213,0.7979255900365625,0.001402215359180045,0.28511807381213383,0.2685176970846521,0.6510834378857883,0.0005955950293394668,0.3812965706104638,0.25354574955695647,0.17283984020158946,0.00018007393436008485
Belarus,BLR,112,start,2000,Imports,COMTRADE-FINAL-CA1122000H1[2002-09-01].gz,4012,4930272400.0,0.8153375019205885,1.8093016645948938,0.003592781598837592,0.8153375019205884,0.003592781598837592,4924,0.13415006899618773,0.08820463956514857,0.08811329729000254,0.3982196217548491,0.0017265855724031974,0.21974861132622206,0.21717643382647475,0.7114814760658136,0.0012177664405114493,0.25140777985262847,0.2374381175220382,0.5432648672460025,0.00046583698884459417,0.4406389692560009,0.272609653282073,0.15633569952822884,0.00018259259707835147
Belarus,BLR,112,mid,2011,Imports,COMTRADE-FINAL-CA1122011H3[2012-05-01].gz,4345,22698830300.0,0.8244854853556451,1.7309885728993677,0.002993506606364275,0.8244854853556454,0.002993506606364275,4924,0.11463343265930316,0.07867149436330206,0.0785956532481327,0.345587874847702,0.0013436385536551498,0.19919707384569504,0.19703381761188368,0.6232199363742199,0.0009684682223509447,0.25671238917596134,0.24312632469906825,0.554370645844056,0.00046519873360599355,0.4654190426150416,0.3057296897965606,0.20781011583338976,0.00021620109675218676
Belarus,BLR,112,end,2021,Imports,COMTRADE-FINAL-CA1122021H5[2022-04-12].gz,4086,25652233100.000004,0.8147532810330393,1.7118096226851842,0.002616410840130285,0.8147532810330391,0.002616410840130285,4924,0.1035706122801449,0.06619445583862248,0.06612056652833942,0.27748490148591104,0.0009005225797697671,0.2008944920188635,0.19857036387753538,0.6305404659033672,0.000990992231887831,0.26576452294367914,0.25098149366218236,0.5849693054615528,0.0005046925351925302,0.46714652919883476,0.2990808569649822,0.21881494983435304,0.0002202034932801561
Belgium,BEL,56,start,2000,Imports,COMTRADE-FINAL-CA0562000H1[2002-09-01].gz,4493,133213310881.99998,0.8207195530876862,1.9713633791450744,0.00809138211245443,0.8207195530876863,0.00809138211245443,4924,0.21263102540905365,0.16766349340858508,0.16751833038356048,0.8713768613454407,0.0065619739481651155,0.19541991612339737,0.19350897666552797,0.6188586493088505,0.0010519329109422897,0.21279237679513952,0.20219632312734928,0.423722314355596,0.00033190644920380564,0.4241242136728781,0.2574959229112485,0.057405554135187276,0.0001455688041432219
Belgium,BEL,56,mid,2012,Imports,COMTRADE-FINAL-CA0562012H4[2021-05-19].gz,4705,234824178650.52606,0.8366292573432209,1.9671821189787675,0.0070751238825972505,0.836629257343221,0.0070751238825972505,4924,0.2011960612755472,0.14825399165783054,0.14813449910023652,0.7528543015572735,0.005264386164741191,0.2151825936430356,0.21321315221752005,0.705395270922423,0.0013199093415532223,0.2177188244575315,0.20721839224820698,0.4363136835479256,0.0003409767938680929,0.41884459024160214,0.2680632137772574,0.0726188629511458,0.00014985158243474277
Belgium,BEL,56,end,2024,Imports,COMTRADE-FINAL-CA0562024H6[2026-03-12].gz,4811,292517993553.418,0.8583401055007199,2.1511569739759318,0.009100657538293408,0.85834010550072,0.009100657538293408,4924,0.22508466246426664,0.17179474915302498,0.17166004985046018,0.8985819859006318,0.007160043406784432,0.22921356865256864,0.22715946436415022,0.7643698194234256,0.0014589363706212252,0.21867613677922254,0.20851945294612953,0.44174376346416044,0.00035196305750916145,0.38031554541518364,0.2510011383399798,0.0464614051877133,0.00012971470337859128
