country,iso3,reporter_code,year,import_bin,total_imports_in_bin,active_products,product_gini,top_1_product_share,top_5_product_share,top_10_product_share
Iceland,ISL,352,2009,capital_goods,387228236.0,501,0.8508922670216392,0.25827552255254443,0.43738564560669074,0.5316601860614317
Iceland,ISL,352,2009,energy,439998406.0,25,0.9228563376204595,0.6982970433761071,0.9919646958902847,0.9992072448553371
Iceland,ISL,352,2009,final_consumption,836728768.0,1098,0.7762282840910331,0.05441828193482168,0.1560160496358122,0.23464699734095912
Iceland,ISL,352,2009,intermediates,1878578024.0,2442,0.9102497123355819,0.22628582394190724,0.4690685144520779,0.5075698676436768
Iceland,ISL,352,2009,unmapped_or_ambiguous,61455334.0,99,0.6884898820428778,0.10404945484471698,0.3483033059424915,0.5340872933828656
Iceland,ISL,352,2010,capital_goods,412126547.0,524,0.8490912367610106,0.08392488484853658,0.35203626423997386,0.4777451790796675
Iceland,ISL,352,2010,energy,499943048.0,26,0.9267466466115739,0.6976680691837523,0.9916318988398054,0.9990148237844884
Iceland,ISL,352,2010,final_consumption,870460861.0,1104,0.7721866124982899,0.0645127213824264,0.15791976659591592,0.22615822815266132
Iceland,ISL,352,2010,intermediates,2056863662.0,2414,0.9133818996988317,0.25064191639163685,0.4734981715088513,0.5144796252421713
Iceland,ISL,352,2010,unmapped_or_ambiguous,74955278.0,101,0.7097921396344478,0.12483511834883729,0.38493247933787933,0.5618042534643124
Iceland,ISL,352,2011,capital_goods,546593728.0,527,0.8414109452694611,0.12467472733239998,0.38521809931928086,0.4935147188516587
Iceland,ISL,352,2011,energy,688880295.0,24,0.9255151291681718,0.7259844963340111,0.992330653034574,0.9989761646470088
Iceland,ISL,352,2011,final_consumption,1052396527.0,1116,0.7881752262435289,0.056029667988442534,0.16774654464438385,0.24486392855608502
Iceland,ISL,352,2011,intermediates,2468600196.0,2426,0.9158800725672884,0.23332415995643874,0.4686914761956051,0.5056742894303813
Iceland,ISL,352,2011,unmapped_or_ambiguous,89289477.0,99,0.7077025459788526,0.10136608818976507,0.360165330568573,0.5518502589056491
Iceland,ISL,352,2012,capital_goods,618449333.0,529,0.8507659525568938,0.22861559461007616,0.4525848409315044,0.5311793472336076
Iceland,ISL,352,2012,energy,707762476.0,27,0.933532301360714,0.7270843841684537,0.9929970432622935,0.9995046940013248
Iceland,ISL,352,2012,final_consumption,1069834594.0,1179,0.7975155227716881,0.06297116430691901,0.1873445681454567,0.27786778130676154
Iceland,ISL,352,2012,intermediates,2292485660.0,2469,0.9130747802758321,0.22166957589606034,0.4548674489854824,0.4984774718285479
Iceland,ISL,352,2012,unmapped_or_ambiguous,83384145.0,86,0.7465082950554287,0.13169236189925554,0.5059674594013046,0.6613262029610065
Iceland,ISL,352,2013,capital_goods,534897295.0,539,0.8101916612762783,0.06886613251614966,0.2551962279039007,0.3690382618218325
Iceland,ISL,352,2013,energy,945099475.0,24,0.9328181340823056,0.8007052411070273,0.992257602301599,0.9993733971759957
Iceland,ISL,352,2013,final_consumption,1108090867.0,1177,0.7943600978831025,0.054130044553467115,0.17360974693422865,0.25058910985501337
Iceland,ISL,352,2013,intermediates,2346693944.0,2457,0.9119391162681687,0.21414587372370192,0.4557378092419878,0.49908798758974426
Iceland,ISL,352,2013,unmapped_or_ambiguous,84461872.0,88,0.7143059081359004,0.12875555256459387,0.4231944444707548,0.590114389129334
Iceland,ISL,352,2014,capital_goods,720749096.0,549,0.8392455392466589,0.10200779634415247,0.3221264976792978,0.4400475932057222
Iceland,ISL,352,2014,energy,928828816.0,26,0.9375822787200798,0.8065343022260412,0.9920447084837213,0.9991146431012536
Iceland,ISL,352,2014,final_consumption,1255672106.0,1183,0.8068251945172127,0.06479012523353768,0.2081895064411027,0.29321807917902415
Iceland,ISL,352,2014,intermediates,2397698281.0,2490,0.9112198742815512,0.20639067680926448,0.43594251507076925,0.48233337578974556
Iceland,ISL,352,2014,unmapped_or_ambiguous,68970686.0,85,0.648482466713979,0.08589568037644282,0.334783867453486,0.5286843601932566
Iceland,ISL,352,2015,capital_goods,825370762.0,541,0.8551458113570181,0.1889054679162478,0.41863715787887334,0.5084746144666559
Iceland,ISL,352,2015,energy,668330754.0,26,0.9334179237384468,0.7935147961184501,0.9913978072001157,0.999277104940767
Iceland,ISL,352,2015,final_consumption,1361757967.0,1192,0.827367182417305,0.08012026119469731,0.2530675430959311,0.3463438000212559
Iceland,ISL,352,2015,intermediates,2354839851.0,2507,0.9132051845302831,0.2200566954818364,0.41594863641536023,0.47932385657592647
Iceland,ISL,352,2015,unmapped_or_ambiguous,75074003.0,89,0.6814543657825678,0.08397294333698976,0.34631118577758535,0.5623979182247681
