cmd_code,trade_value,rank,share,gini_contribution,theil_contribution,hhi_contribution,country,iso3,reporter_code,snapshot,year,total_nonenergy_imports,product_label
490700,13578275.0,5,0.017044196081106792,0.016989625549363653,0.07550461170859432,0.0002905046200512161,Andorra,AND,20,start,2000,796650949.9999999,"Unused postage, revenue or similar stamps of current or new issue in the country to which they are destined; stamp-impressed paper; banknotes; cheque forms; stock, share or bond certificates and similar documents of ti"
220830,13370843.0,6,0.01678381604892331,0.016718137651008633,0.07409276520064946,0.00028169648116409566,Andorra,AND,20,start,2000,796650949.9999999,Whiskies
240120,11852719.0,7,0.014878183475460617,0.014809376508124797,0.06388717503442339,0.00022136034352946937,Andorra,AND,20,start,2000,796650949.9999999,"Tobacco, partly or wholly stemmed/stripped"
220890,11753330.0,8,0.01475342494727459,0.014674698026531395,0.06322722578547287,0.00021766354767486422,Andorra,AND,20,start,2000,796650949.9999999,Other
870333,10886799.0,9,0.013665707672852209,0.01358306198432909,0.057519111370767165,0.00018675156619985173,Andorra,AND,20,start,2000,796650949.9999999,"Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 2,500 cc"
240220,10793161.0,10,0.013548168115534165,0.013456593873557948,0.056907353483493114,0.00018355285928677657,Andorra,AND,20,start,2000,796650949.9999999,Cigarettes containing tobacco
300490,32030447.897,1,0.02876965824266846,0.028760036283389974,0.14250884804727604,0.0008276932353999412,Andorra,AND,20,mid,2012,1113341271.7949998,Other
330790,31069926.805999998,2,0.027906920899381623,0.027878920644298633,0.137385657931062,0.0007787962340843428,Andorra,AND,20,mid,2012,1113341271.7949998,Other
240310,30806993.015,3,0.027670754507583287,0.027624482342854886,0.13598784748144382,0.0007656706550189408,Andorra,AND,20,mid,2012,1113341271.7949998,"Smoking tobacco, whether or not containing tobacco substitutes in any proportion"
330499,28994997.391,4,0.02604322513280444,0.02598225437162396,0.12641066020532887,0.0006782495753179369,Andorra,AND,20,mid,2012,1113341271.7949998,Other
870332,27419900.724,5,0.024628477735125984,0.024554345193448346,0.11816804235954675,0.0006065619155495964,Andorra,AND,20,mid,2012,1113341271.7949998,"Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc"
330300,24006563.536000002,6,0.021562627869974756,0.021483300476473177,0.10059144511701075,0.00046494692065901207,Andorra,AND,20,mid,2012,1113341271.7949998,Perfumes and toilet waters.
210690,20873822.6377464,7,0.01874880880333511,0.01866729224332061,0.084843073814935,0.0003515178315440161,Andorra,AND,20,mid,2012,1113341271.7949998,Other
621143,17477686.661000002,8,0.015698409017768075,0.015619654457478269,0.06825166800921954,0.00024644004568914204,Andorra,AND,20,mid,2012,1113341271.7949998,"Other garments, women's or girls' :-- Of man-made fibres"
220830,15755771.61,9,0.014151789760382762,0.014071328079470886,0.06005966235143262,0.0002002731534220744,Andorra,AND,20,mid,2012,1113341271.7949998,Whiskies
621149,15653909.4668502,10,0.014060297469806332,0.013970951097924619,0.05958017661944792,0.00019769196493944234,Andorra,AND,20,mid,2012,1113341271.7949998,"Other garments, women's or girls' :-- Of other textile materials"
870324,91356324.13352141,1,0.05280268179909794,0.052787219813212403,0.29361898503517253,0.0027881232051767887,Andorra,AND,20,end,2023,1730145534.6740003,"Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 3,000 cc"
870323,68298312.4384552,2,0.039475472478865306,0.03944079417214888,0.20802787398062353,0.0015583129274296522,Andorra,AND,20,end,2023,1730145534.6740003,"Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc"
330300,58200959.949,3,0.03363934350179762,0.03359009116870568,0.17189090705025284,0.0011316054312319338,Andorra,AND,20,end,2023,1730145534.6740003,Perfumes and toilet waters.
300490,33868733.671,4,0.01957565591577916,0.01953553012034418,0.08942958225830207,0.0003832063045329797,Andorra,AND,20,end,2023,1730145534.6740003,Other
330499,31585612.989,5,0.018256043989358078,0.018207931428331953,0.08212695734692105,0.0003332831421413772,Andorra,AND,20,end,2023,1730145534.6740003,Other
210690,26323191.9657134,6,0.015214437998519762,0.015165431024000371,0.06567108370230511,0.00023147912361080203,Andorra,AND,20,end,2023,1730145534.6740003,Other
870332,25153155.016,7,0.014538172952450176,0.01448282998074246,0.06209106855548472,0.00021135847279535387,Andorra,AND,20,end,2023,1730145534.6740003,"Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc"
852520,24874512.7115864,8,0.014377121584903745,0.014313971709713831,0.06124307842274273,0.00020670162506710517,Andorra,AND,20,end,2023,1730145534.6740003,Transmission apparatus incorporating reception apparatus
190590,23765732.172,9,0.01373626188994443,0.013667882255353198,0.05788681086889739,0.00018868489070913974,Andorra,AND,20,end,2023,1730145534.6740003,Other
220300,22006781.091000002,10,0.012719612685730852,0.01264884470885563,0.05262442512405317,0.00016178854687500522,Andorra,AND,20,end,2023,1730145534.6740003,Beer made from malt.
100630,134294950.906,1,0.03461691839033711,0.03460741347040566,0.17787777999805215,0.0011983310388432597,Angola,AGO,24,start,2004,3879460019.8580003,"Semi-milled or wholly milled rice, whether or not polished or glazed"
220300,82377392.073,2,0.021234241789148598,0.02121675065093678,0.09873362412239604,0.00045089302436002464,Angola,AGO,24,start,2004,3879460019.8580003,Beer made from malt.
110100,80047202.021,3,0.020633593750485398,0.02060526646636886,0.09534869756384434,0.0004257451910600701,Angola,AGO,24,start,2004,3879460019.8580003,Wheat or meslin flour.
870421,76063012.858,4,0.01960659794627401,0.019568913655877547,0.08960190454833408,0.00038441868302683624,Angola,AGO,24,start,2004,3879460019.8580003,"Other, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- g.v.w. not exceeding 5 tonnes"
870323,75702935.907,5,0.019513781691136222,0.019465559825342642,0.08908513922184784,0.00038078767588932324,Angola,AGO,24,start,2004,3879460019.8580003,"Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc"
020230,65896351.20900001,6,0.016985959610794497,0.01693465660263449,0.07518849130058175,0.00028852282389954195,Angola,AGO,24,start,2004,3879460019.8580003,Boneless
150790,59247405.710999995,7,0.015272075342374227,0.01521756216844483,0.06597761395769319,0.00023323628526315487,Angola,AGO,24,start,2004,3879460019.8580003,Other
730890,51592364.875,8,0.01329885205954215,0.013244079192740081,0.055613125293036414,0.0001768594661015885,Angola,AGO,24,start,2004,3879460019.8580003,Other
630900,50205325.993,9,0.012941318053546449,0.012880911022544173,0.053765305697265994,0.00016747771296304724,Angola,AGO,24,start,2004,3879460019.8580003,Worn clothing and other worn articles.
170199,48210181.642,10,0.012427034018967576,0.012362203253904318,0.05112476166760568,0.00015443117450857741,Angola,AGO,24,start,2004,3879460019.8580003,Other
870323,444131697.0,1,0.020845659645207133,0.020840892743847608,0.09654181486603385,0.00043454152604381716,Angola,AGO,24,mid,2014,21305715652.999996,"Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc"
870322,403643013.0,2,0.018945292407634484,0.018932295408498216,0.08592972110602787,0.00035892410441077283,Angola,AGO,24,mid,2014,21305715652.999996,"Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc"
020741,369054658.276,3,0.017321861620923047,0.017302056153714124,0.0770145659465769,0.0003000468900144068,Angola,AGO,24,mid,2014,21305715652.999996,"Fowl cuts & offal, domestic, except livers, frozen"
870210,361719140.0,4,0.016977563480674134,0.016950386955550713,0.07514293170618452,0.00028823766174032,Angola,AGO,24,mid,2014,21305715652.999996,With compression-ignition internal combustion piston engine (diesel or semi-diesel)
110100,351010456.0,5,0.016474943236679085,0.016441036424620976,0.07242322183869852,0.00027142375465179794,Angola,AGO,24,mid,2014,21305715652.999996,Wheat or meslin flour.
870324,317169360.0,6,0.014886585607620286,0.014849139359807842,0.06393165843820484,0.00022161043105300746,Angola,AGO,24,mid,2014,21305715652.999996,"Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 3,000 cc"
730420,315634684.0,7,0.014814554420074427,0.01477051389698708,0.0635504579784013,0.00021947102266534676,Angola,AGO,24,mid,2014,21305715652.999996,"Casings, tubing and drill pipe, for oil drilling"
220300,254956254.0,8,0.011966566068579834,0.01192551907772031,0.04877856904770699,0.00014319870347368624,Angola,AGO,24,mid,2014,21305715652.999996,Beer made from malt.
252310,244790122.0,9,0.011489410916151592,0.011444745929740758,0.046366058094576695,0.00013200656320018337,Angola,AGO,24,mid,2014,21305715652.999996,Cement clinkers
847989,241993507.394,10,0.011358149678484308,0.011308800297306352,0.04570583863058213,0.00012900756411885319,Angola,AGO,24,mid,2014,21305715652.999996,Other machines and mechanical appliances :-- Other
100110,363740448.43,1,0.03351884736346234,0.03351121382956039,0.17115491369895536,0.0011235131285750864,Angola,AGO,24,end,2024,10851818515.289999,Durum wheat
848180,271982212.68,2,0.02506328430546294,0.025046160676923567,0.12069287734022956,0.000628168220176465,Angola,AGO,24,end,2024,10851818515.289999,Other appliances
100630,242996616.06,3,0.02239224842524067,0.02236675053361548,0.10530707324334913,0.0005014127895376933,Angola,AGO,24,end,2024,10851818515.289999,"Semi-milled or wholly milled rice, whether or not polished or glazed"
020741,199471188.45824003,4,0.018381360522864352,0.018352057511327104,0.08281645414969492,0.00033787441467151604,Angola,AGO,24,end,2024,10851818515.289999,"Fowl cuts & offal, domestic, except livers, frozen"
490700,181137960.83,5,0.016691945278552178,0.016657732682900397,0.07359557947939202,0.00027862103718218035,Angola,AGO,24,end,2024,10851818515.289999,"Unused postage, revenue or similar stamps of current or new issue in the country to which they are destined; stamp-impressed paper; banknotes; cheque forms; stock, share or bond certificates and similar documents of ti"
830710,177409974.92999998,6,0.016348409686361122,0.016307454890972833,0.07174093878990158,0.00026727049927310616,Angola,AGO,24,end,2024,10851818515.289999,Of iron or steel
732690,174370835.72,7,0.016068351629205273,0.01602077964761118,0.07023432804704831,0.00025819192407978373,Angola,AGO,24,end,2024,10851818515.289999,Other
300490,156396051.56,8,0.014411967113128647,0.014362734704406958,0.061426399709532335,0.00020770479606990166,Angola,AGO,24,end,2024,10851818515.289999,Other
170199,146256992.48,9,0.013477648218492297,0.01342546875602034,0.05654080759821811,0.0001816470015014286,Angola,AGO,24,end,2024,10851818515.289999,Other
730890,143537503.95,10,0.013227046116534151,0.01316981225722781,0.055241235539173796,0.00017495474896892118,Angola,AGO,24,end,2024,10851818515.289999,Other
870323,9409305.0,1,0.03903414866205261,0.03902160555515606,0.20526333776668873,0.0015236647617712237,Antigua and Barbuda,ATG,28,start,2000,241053163.0,"Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc"
210690,4603220.2064,2,0.01909628626777239,0.01907787725144742,0.08676617441535903,0.0003646681492207124,Antigua and Barbuda,ATG,28,start,2000,241053163.0,Other
220210,4152601.0,3,0.01722690940172397,0.017199231205384437,0.07649770828294057,0.0002967664075352057,Antigua and Barbuda,ATG,28,start,2000,241053163.0,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured"
847191,3827821.1344,4,0.01587957231824417,0.015843853485908787,0.06922151280809749,0.0002521608170103465,Antigua and Barbuda,ATG,28,start,2000,241053163.0,Digital computer cpu with some of storage/input/outpu
440710,3777272.0,5,0.015669871131290654,0.015624553380589622,0.06809908246295186,0.00024554486127125624,Antigua and Barbuda,ATG,28,start,2000,241053163.0,Coniferous
020741,3551521.14,6,0.014733352160991971,0.014681274116721111,0.06312114279849664,0.00021707166589980678,Antigua and Barbuda,ATG,28,start,2000,241053163.0,"Fowl cuts & offal, domestic, except livers, frozen"
841280,3354374.0,7,0.013915494649618018,0.01385736436991203,0.0588225235010931,0.0001936409913435477,Antigua and Barbuda,ATG,28,start,2000,241053163.0,Other
252329,3131019.0,8,0.012988914814612907,0.012926307577395943,0.05401073282909098,0.00016871190806127065,Antigua and Barbuda,ATG,28,start,2000,241053163.0,Portland cement :-- Other
847199,2813275.0,9,0.011670765755519251,0.011607011572407481,0.047280702744912445,0.00013620677332020083,Antigua and Barbuda,ATG,28,start,2000,241053163.0,"Automatic data processing machines and units, nes"
441219,2463904.0,10,0.010221413273884317,0.01015900747304762,0.04005369208525487,0.00010447728931553851,Antigua and Barbuda,ATG,28,start,2000,241053163.0,"Plywood consisting solely of sheets of wood, each ply not exceeding 6 mm thickness :-- Other"
