country,iso3,reporter_code,year,flow,variant,total_trade_value,product_gini,product_top_1pct_share,product_top_2pct_share,product_top_5pct_share,product_top_10pct_share,product_top_200_share,product_active_count,partner_gini,partner_top_1pct_share,partner_top_2pct_share,partner_top_5pct_share,partner_top_10pct_share,partner_top_200_share,partner_active_count,top_5_partner_share,product_partner_cell_gini,product_partner_cell_top_1pct_share,product_partner_cell_top_2pct_share,product_partner_cell_top_5pct_share,product_partner_cell_top_10pct_share,product_partner_cell_top_200_share,product_partner_cell_active_count
Germany,DEU,276,1992,Imports,baseline,408307127568.0,0.7938010641679056,0.334124408742484,0.4189792291772066,0.5630800762979837,0.6878776185978392,0.5254240179784057,4983,0.8896797123915712,0.2962631432091621,0.4317061550845545,0.695774573175158,0.8383913245281014,0.9999998628483409,205,0.4317061550845545,0.9225902528608281,0.518791633223993,0.6269497328952883,0.7794010686600144,0.8843832967570764,0.2998732480848222,119734
Germany,DEU,276,1993,Exports,baseline,376642558664.0,0.8065726731343386,0.32042545625244373,0.4067705657890746,0.5549442511154489,0.6938084017454852,0.5197813527776253,4860,0.8836083557634056,0.27399096932128947,0.4202393434917174,0.6872263204830977,0.8221891328543558,0.9999975122301544,210,0.4202393434917174,0.9225574683770061,0.5211909704530235,0.634133541656053,0.7859354362767972,0.886601341198667,0.23650341050137444,254157
Germany,DEU,276,1993,Imports,baseline,342558712392.0,0.8053955801127628,0.3610064113811985,0.44383087608648614,0.5827679757377034,0.7046815440961981,0.54568879042869,4983,0.8852041257082517,0.27765453766407033,0.4079991805435803,0.672863705093092,0.8237122724501159,0.9999995416844053,210,0.4079991805435803,0.9262662397667971,0.5403266205070036,0.6449410900960624,0.7909680080824818,0.890451666699818,0.32359475737738896,120842
Germany,DEU,276,1994,Exports,baseline,422686219640.0,0.806648006056387,0.31779295007631303,0.4041420956885965,0.5550573540434336,0.694606937718619,0.5198691995285603,4845,0.8846361776689322,0.2734651462317543,0.42235406409995446,0.6865785925057323,0.8270413593368028,0.9999977761281151,212,0.42235406409995446,0.9235683436516589,0.5230732807620423,0.6358159555542022,0.7874796413365278,0.8881067590983175,0.2305704805115373,259158
Germany,DEU,276,1994,Imports,baseline,381538916296.0,0.8023457660706661,0.3402213270514573,0.42814649659818355,0.57403788431921,0.7001801884050712,0.5358772292401762,4977,0.8819303283607176,0.2688638310028021,0.40055121054397724,0.6640771605574126,0.8223359919505263,0.9999995177425103,207,0.40055121054397724,0.924608991987329,0.527232821356391,0.6356011901754789,0.78589629914285,0.887803193405336,0.30286654738609026,120089
Germany,DEU,276,1995,Exports,baseline,518222427696.0,0.8114444422126343,0.32558450723591165,0.4093747035364705,0.5610276865025078,0.7008721955913979,0.5251543124637726,4844,0.884025861656049,0.27072815528991606,0.415600416549981,0.6771974039955446,0.8266765520293338,0.9999960866224779,213,0.415600416549981,0.9248945843111667,0.5253309836595892,0.6384680728061702,0.7909465603762864,0.8906610733697558,0.23045510057711813,261393
Germany,DEU,276,1995,Imports,baseline,464145333200.0,0.807275307043078,0.3507062089146521,0.43972764051481794,0.5835674472661055,0.7074319048825028,0.5462856848304082,4969,0.8856942079116283,0.2741930044251062,0.4050088018250056,0.6640064824764675,0.8364019442692955,0.9999990563300573,212,0.4050088018250056,0.9258950912327926,0.534330414334111,0.6407486942712624,0.7893363392757258,0.8898012899378647,0.30988282519265026,120330
Germany,DEU,276,1996,Exports,baseline,519327577666.0,0.8122691325739708,0.32567425018352325,0.40990825466601616,0.5629414105214772,0.702188579680109,0.5235456605192345,4947,0.8814379366375016,0.26294035929827336,0.410680088628313,0.666562910521251,0.8181739793650437,0.9999989694673979,209,0.410680088628313,0.9258338222377449,0.5247122352690731,0.6384151900811065,0.792204965884936,0.8920960473351949,0.22530105610384232,277689
Germany,DEU,276,1996,Imports,baseline,458699664904.0,0.808061679119487,0.3522404692530462,0.4416159663957791,0.5850589707977346,0.7076113312856479,0.5437287691156216,5090,0.8839806596085895,0.26992756348734864,0.40751699633380295,0.6625402745402132,0.8274206424969427,0.9999994741308563,208,0.40751699633380295,0.9284591139199052,0.5411541832627037,0.6479519056683928,0.7953917508798651,0.8939167407432399,0.3122668275721928,127347
Germany,DEU,276,1997,Exports,baseline,507858090565.0,0.8144454032261055,0.3352658650304749,0.41689933475009106,0.5672252497868405,0.7053317959658525,0.5278642879898924,4941,0.8787011630418733,0.27166946133418246,0.4120341246217043,0.6522058716766798,0.809883784406025,0.9999989008327121,210,0.4120341246217043,0.9263045391679914,0.527448781083691,0.6411127811408326,0.7931399538833297,0.8927224637055832,0.22713796178705561,283480
