country,iso3,reporter_code,metric,start_year,end_year,start_metric,end_metric,delta_metric,metric_change_direction,main_driver_bucket,main_driver_bucket_label,main_driver_group,delta_top5_contribution,delta_rank6_50_contribution,delta_rank51_200_contribution,delta_rank201_plus_contribution
Fiji,FJI,242,gini,2002,2024,0.8453025190786617,0.8648240772182103,0.01952155813954859,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,-0.01861995419882939,0.029913672507020872,-0.0022283777869387122,0.010456217618296293
Finland,FIN,246,gini,2000,2024,0.8292639439831454,0.8503670651348604,0.021103121151714976,increase,rank51_200,Ranks 51-200,middle-tail change,-0.019155366262151474,0.015464741500969326,0.01957826715447919,0.005215478758417935
France,FRA,251,gini,2000,2024,0.7811337717290954,0.8185411620495623,0.037407390320466916,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,-0.02505732758711722,0.043674184026665674,0.011465979170670437,0.007324554710248399
French Polynesia,PYF,258,gini,2000,2024,0.8533446106344476,0.8337304892857214,-0.0196141213487262,decrease,rank201_plus,Rank 201+ tail,long-tail compression or expansion,0.03676207514386909,0.0018437863190899906,-0.014055680561234157,-0.04416430225045123
Gabon,GAB,266,gini,2000,2023,0.8850120729147182,0.9167859700610247,0.03177389714630652,increase,top5,Top 5,top-5 superstar concentration,0.12673647105832497,-0.03706803809334991,-0.05128352808001954,-0.006611007738648894
Gambia,GMB,270,gini,2000,2024,0.8986201437249605,0.9275638104953322,0.028943666770371745,increase,top5,Top 5,top-5 superstar concentration,0.05293797708430564,-0.029227237357936864,-0.01766529482888668,0.022898221872889604
Georgia,GEO,268,gini,2000,2024,0.8939588360064497,0.8918226363086074,-0.0021361996978422892,decrease,rank6_50,Ranks 6-50,broader upper-tier concentration,0.019959901930896917,-0.1163110628461641,0.016392221823242237,0.07782273939418263
Germany,DEU,276,gini,2000,2024,0.8005721070648958,0.8359089715784167,0.035336864513520916,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,-0.019617745122893784,0.0252922809714535,0.023384378077790036,0.006277950587171233
Ghana,GHA,288,gini,2000,2023,0.8911187850585124,0.9004285376857624,0.009309752627249979,increase,top5,Top 5,top-5 superstar concentration,-0.08321456285038148,0.01867000855617279,0.028864574931292714,0.044989731990166065
Greece,GRC,300,gini,2000,2024,0.8360703120996325,0.8438190965674589,0.007748784467826453,increase,top5,Top 5,top-5 superstar concentration,-0.05279083961689417,0.005551411800442302,0.029866271651155185,0.025121940633123147
