flow,cmd_code,product_id
Exports,271390,HS1992:271390
Exports,271410,HS1992:271410
Exports,271490,HS1992:271490
Exports,271500,HS1992:271500
Exports,280110,HS1992:280110
Exports,280120,HS1992:280120
Exports,280130,HS1992:280130
Exports,280200,HS1992:280200
Exports,280300,HS1992:280300
Exports,280410,HS1992:280410
Exports,280421,HS1992:280421
Exports,280429,HS1992:280429
Exports,280430,HS1992:280430
Exports,280440,HS1992:280440
Exports,280450,HS1992:280450
Exports,280461,HS1992:280461
Exports,280469,HS1992:280469
Exports,280470,HS1992:280470
Exports,280480,HS1992:280480
Exports,280490,HS1992:280490
Exports,280511,HS1992:280511
Exports,280519,HS1992:280519
Exports,280521,HS1992:280521
Exports,280522,HS1992:280522
Exports,280530,HS1992:280530
Exports,280540,HS1992:280540
Exports,280610,HS1992:280610
Exports,280620,HS1992:280620
Exports,280700,HS1992:280700
Exports,280800,HS1992:280800
Exports,280910,HS1992:280910
Exports,280920,HS1992:280920
Exports,281000,HS1992:281000
Exports,281111,HS1992:281111
Exports,281119,HS1992:281119
Exports,281121,HS1992:281121
Exports,281122,HS1992:281122
Exports,281123,HS1992:281123
Exports,281129,HS1992:281129
Exports,281210,HS1992:281210
Exports,281290,HS1992:281290
Exports,281310,HS1992:281310
Exports,281390,HS1992:281390
Exports,281410,HS1992:281410
Exports,281420,HS1992:281420
Exports,281511,HS1992:281511
Exports,281512,HS1992:281512
Exports,281520,HS1992:281520
Exports,281530,HS1992:281530
Exports,281610,HS1992:281610
Exports,281620,HS1992:281620
Exports,281630,HS1992:281630
Exports,281700,HS1992:281700
Exports,281810,HS1992:281810
Exports,281820,HS1992:281820
Exports,281830,HS1992:281830
Exports,281910,HS1992:281910
Exports,281990,HS1992:281990
Exports,282010,HS1992:282010
Exports,282090,HS1992:282090
Exports,282110,HS1992:282110
Exports,282120,HS1992:282120
Exports,282200,HS1992:282200
Exports,282300,HS1992:282300
Exports,282410,HS1992:282410
Exports,282420,HS1992:282420
Exports,282490,HS1992:282490
Exports,282510,HS1992:282510
Exports,282520,HS1992:282520
Exports,282530,HS1992:282530
Exports,282540,HS1992:282540
Exports,282550,HS1992:282550
Exports,282560,HS1992:282560
Exports,282570,HS1992:282570
Exports,282580,HS1992:282580
Exports,282590,HS1992:282590
Exports,282611,HS1992:282611
Exports,282612,HS1992:282612
Exports,282619,HS1992:282619
Exports,282620,HS1992:282620
Exports,282630,HS1992:282630
Exports,282690,HS1992:282690
Exports,282710,HS1992:282710
Exports,282720,HS1992:282720
Exports,282731,HS1992:282731
Exports,282732,HS1992:282732
Exports,282733,HS1992:282733
Exports,282734,HS1992:282734
Exports,282735,HS1992:282735
Exports,282736,HS1992:282736
Exports,282737,HS1992:282737
Exports,282738,HS1992:282738
Exports,282739,HS1992:282739
Exports,282741,HS1992:282741
Exports,282749,HS1992:282749
Exports,282751,HS1992:282751
Exports,282759,HS1992:282759
Exports,282760,HS1992:282760
Exports,282810,HS1992:282810
Exports,282890,HS1992:282890
Exports,282911,HS1992:282911
