country,iso3,reporter_code,year,population,population_quartile,is_bottom_population_quartile,world_relative_product_gini,world_relative_import_product_gini,active_product_gini,driver_rank,product_id,country_product_imports,country_share,leave_one_out_product_imports,leave_one_out_world_weight,world_weight_percentile,relative_intensity,loo_gini_contribution,positive_loo_gini_contribution,driver_bucket,representative_classification_code,representative_cmd_code,product_description,product_label
Armenia,ARM,51,2000,3221100.0,1,True,0.8804693252116944,0.8804693252116944,0.9296536414383548,1,HS1992:710231,92219279.0,0.1097551675715356,26857130184.924,0.004475557426922317,0.9954337899543378,24.523239700000982,0.006770496915907254,0.006770496915907254,overweight_large_world_product,H0,710231,"Non-industrial :-- Unworked or simply sawn, cleaved or bruted","710231 - Non-industrial :-- Unworked or simply sawn, cleaved or bruted"
Armenia,ARM,51,2000,3221100.0,1,True,0.8804693252116944,0.8804693252116944,0.9296536414383548,2,HS1992:100110,51959629.0,0.061839973698447806,3951431556.922,0.0006584790977214945,0.9523525908278737,93.91334350996087,0.006618226233989444,0.006618226233989444,overweight_large_world_product,H0,100110,Durum wheat,100110 - Durum wheat
Armenia,ARM,51,2000,3221100.0,1,True,0.8804693252116944,0.8804693252116944,0.9296536414383548,3,HS1992:270900,1413796.0,0.0016826353293433007,374417378951.603,0.06239410054601768,1.0,0.026967859374818656,0.005760631535711491,0.005760631535711491,underweight_large_world_product,H0,270900,"Petroleum oils and oils obtained from bituminous minerals, crude.","270900 - Petroleum oils and oils obtained from bituminous minerals, crude."
Armenia,ARM,51,2000,3221100.0,1,True,0.8804693252116944,0.8804693252116944,0.9296536414383548,4,HS1992:271121,81765928.0,0.09731406736851753,40453602470.129,0.00674131672797196,0.9976176295413937,14.435468810526164,0.0022944672221559825,0.0022944672221559825,overweight_large_world_product,H0,271121,In gaseous state :-- Natural gas,271121 - In gaseous state :-- Natural gas
Armenia,ARM,51,2000,3221100.0,1,True,0.8804693252116944,0.8804693252116944,0.9296536414383548,5,HS1992:854211,154636.5526,0.0001840413515193236,125026618948.48888,0.02083483265505418,0.9994044073853484,0.008833349159378934,0.0022799796931950445,0.0022799796931950445,underweight_large_world_product,H0,854211,"Monolithic integrated circuits, digital","854211 - Monolithic integrated circuits, digital"
Armenia,ARM,51,2000,3221100.0,1,True,0.8804693252116944,0.8804693252116944,0.9296536414383548,6,HS1992:090112,12855847.0,0.015300441047245913,291165747.41400003,4.852078439995106e-05,0.5219376613063331,315.3378750253952,0.0017653954353591406,0.0017653954353591406,overweight_mid_world_product,H0,090112,"Coffee, not roasted :-- Decaffeinated","090112 - Coffee, not roasted :-- Decaffeinated"
Armenia,ARM,51,2000,3221100.0,1,True,0.8804693252116944,0.8804693252116944,0.9296536414383548,7,HS1992:170199,17426548.0,0.020740280304440556,2957044195.066,0.0004927712312462252,0.9344848123883264,42.08906484249923,0.0016519518005089218,0.0016519518005089218,overweight_large_world_product,H0,170199,Other,170199 - Other
Armenia,ARM,51,2000,3221100.0,1,True,0.8804693252116944,0.8804693252116944,0.9296536414383548,8,HS1992:854219,28316.447399999997,3.370094044454168e-05,76746600225.23912,0.012789297079176329,0.9990073456422474,0.0026350893435272463,0.001497450199169581,0.001497450199169581,underweight_large_world_product,H0,854219,"Monolithic digital integrated circuits :-- Other, including circuits obtained by a combination of bipolar and MOS technologies (BIMOS technology)","854219 - Monolithic digital integrated circuits :-- Other, including circuits obtained by a combination of bipolar and MOS technologies (BIMOS technology)"
Armenia,ARM,51,2000,3221100.0,1,True,0.8804693252116944,0.8804693252116944,0.9296536414383548,9,HS1992:847193,91741.4785,0.00010918651127198609,63525188152.123985,0.010586039002427414,0.9986102838991463,0.010314198846891576,0.00112529077676371,0.00112529077676371,underweight_large_world_product,H0,847193,Computer data storage units,847193 - Computer data storage units
Armenia,ARM,51,2000,3221100.0,1,True,0.8804693252116944,0.8804693252116944,0.9296536414383548,10,HS1992:110100,9650049.0,0.011485046907258182,1025653020.563,0.00017091807508915467,0.8070279928528886,67.19621023854455,0.0010763657609506039,0.0010763657609506039,overweight_mid_world_product,H0,110100,Wheat or meslin flour.,110100 - Wheat or meslin flour.
