flow,dimension,item_code,item_name,display_label,reporters_evaluated,present_reporter_count,top5_reporter_count,mean_loo_gini_contribution_all_reporters,mean_loo_gini_contribution_present_reporters,mean_loo_gini_contribution_top5_reporters,median_loo_gini_contribution_top5_reporters,mean_loo_gini_contribution_share_all_reporters,mean_loo_gini_contribution_share_present_reporters,mean_loo_gini_contribution_share_top5_reporters,median_loo_gini_contribution_share_top5_reporters,mean_full_gini
Exports,product,260111,Iron ores and concentrates: non-agglomerated,Iron ores and concentrates: non-agglomerated (HS 260111),33,28,2,0.0002627496599026845,0.0003096692420281639,0.004209951816253055,0.004209951816253055,0.0002700850798398177,0.0003183145583826423,0.004318722932960511,0.004318722932960511,0.9197688938362708
Exports,product,870380,Vehicles: with only electric motor for propulsion,Vehicles: with only electric motor for propulsion (HS 870380),33,33,2,0.0003284310465056321,0.0003284310465056321,0.0027533024664488925,0.0027533024664488925,0.0003694584037231107,0.0003694584037231107,0.0031269761793822027,0.0031269761793822027,0.9197688938362708
Exports,product,841112,Turbo-jets: of a thrust exceeding 25kN,Turbo-jets: of a thrust exceeding 25kN (HS 841112),33,32,2,0.0002036381406261396,0.00021000183252070648,0.003101828019535735,0.003101828019535735,0.00022775387127774155,0.00023487117975517098,0.003431403858767082,0.003431403858767082,0.9197688938362708
Exports,product,848620,Machines and apparatus of a kind used solely or principally for the manufacture of...,Machines and apparatus of a kind used solely or... (HS 848620),33,33,2,0.0001722305911101058,0.0001722305911101058,0.0027259043332978905,0.0027259043332978905,0.00019440695988788903,0.00019440695988788903,0.003075337291687494,0.003075337291687494,0.9197688938362708
Exports,product,841191,Turbines: parts of turbo-jets and turbo-propellers,Turbines: parts of turbo-jets and turbo-propellers (HS 841191),33,33,2,0.00013022560539100564,0.00013022560539100564,0.0021156131233989184,0.0021156131233989184,0.00014686281492933594,0.00014686281492933594,0.0023536870866034502,0.0023536870866034502,0.9197688938362708
Exports,product,293719,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and...","Polypeptide hormones, protein hormones and... (HS 293719)",33,30,2,0.00011091415210077878,0.00012200556731085665,0.0017497669568954377,0.0017497669568954377,0.00011893951763566669,0.0001308334693992334,0.0018782866345735945,0.0018782866345735945,0.9197688938362708
Exports,product,020230,"Meat: of bovine animals, boneless cuts, frozen","Meat: of bovine animals, boneless cuts, frozen (HS 020230)",33,33,2,6.67402955313884e-05,6.67402955313884e-05,0.0012605261279237112,0.0012605261279237112,6.78476971866334e-05,6.78476971866334e-05,0.0013066774042371629,0.0013066774042371629,0.9197688938362708
Exports,product,870421,Vehicles: with only compression-ignition internal combustion piston engine (diesel or semi-...,Vehicles: with only compression-ignition... (HS 870421),33,33,2,0.0001589346502434444,0.0001589346502434444,0.0019862667016325997,0.0019862667016325997,0.000184773912632239,0.000184773912632239,0.002263565967612787,0.002263565967612787,0.9197688938362708
Exports,product,870360,Vehicles: with both spark-ignition internal combustion piston engine and electric motor for...,Vehicles: with both spark-ignition internal... (HS 870360),33,32,2,0.00024762344955857205,0.0002553616823572774,0.0020835322782256638,0.0020835322782256638,0.0002754042517240676,0.00028401063459044466,0.0022637726784021277,0.0022637726784021277,0.9197688938362708
Exports,product,030214,"Fish: fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),...","Fish: fresh or chilled, Atlantic salmon (Salmo... (HS 030214)",33,28,2,6.035834536982475e-05,7.113662132872202e-05,0.0005448739925293378,0.0005448739925293378,6.409373810217846e-05,7.553904847756747e-05,0.0005569156589757316,0.0005569156589757316,0.9197688938362708
