country,iso3,reporter_code,year,flow,dimension,total_trade_value,top_1_item_share,top_2_item_share,top_3_item_share,top_4_item_share,top_5_item_share,cumulative_top_5_share,gini,active_count,top_5_partner_share
Mexico,MEX,484,2025,Exports,product,665934159184.0,0.11188252827471133,0.10426327105532299,0.03635021948665583,0.0350396974268333,0.023704345014141856,0.31124006125766535,0.9366261758368721,3088,
Mexico,MEX,484,2025,Imports,partner,663605567587.0,0.3766113240215315,0.20078671996755296,0.0701436708875977,0.0347353389526498,0.03369184749202516,0.715968901321357,0.9479084200694632,218,0.7159689013213572
Mexico,MEX,484,2025,Imports,product,663605567587.0,0.12779908108724763,0.05221395659019601,0.031092069323687507,0.023917069304755668,0.021184863269184246,0.25620703957507107,0.8978856771390098,4160,
Netherlands,NLD,528,2025,Exports,partner,747995224683.8369,0.22253035130824916,0.11380053963744692,0.07552048285979872,0.0625865592187324,0.05139222584215471,0.525830158866382,0.8992950799473141,234,0.5258301588663818
Netherlands,NLD,528,2025,Exports,product,747995224683.837,0.04912497066393372,0.03195853691339955,0.03025878215565174,0.02557366620905427,0.02258604337156547,0.15950199931360473,0.8714983796727926,5427,
Netherlands,NLD,528,2025,Imports,partner,653407237542.822,0.16643399885552837,0.10082182067287035,0.09301205707743333,0.08342019180937643,0.042828203710131095,0.48651627212533954,0.8739851742243805,227,0.48763894672325175
Netherlands,NLD,528,2025,Imports,product,653407237542.822,0.05836366289965337,0.02964877158764159,0.02765280719232445,0.02362955997660515,0.016510512129869065,0.1558053137860936,0.8637008514245235,5516,
New Zealand,NZL,554,2025,Exports,partner,47562275370.915,0.25069207699750584,0.12441552698083544,0.11659273892758502,0.04942550784102186,0.03300555027388295,0.5741314010208312,0.9042376072359619,210,0.5741314010208313
New Zealand,NZL,554,2025,Exports,product,47562275370.915,0.11465918140541406,0.05567314865327603,0.0473027574386149,0.046687787128155654,0.03638651852809174,0.30070939315355233,0.9638239364959114,4293,
New Zealand,NZL,554,2025,Imports,partner,48095359530.648,0.22277284754477109,0.10739098541660097,0.10419084717544858,0.06834020411833099,0.052864689329888526,0.5555595735850402,0.9250342289254763,221,0.5555595735850402
New Zealand,NZL,554,2025,Imports,product,48095359530.648,0.07747317730802286,0.0373273388109926,0.025048886879269542,0.017966819886861492,0.015990011509508274,0.17380623439465476,0.8694841962046067,4925,
Norway,NOR,579,2025,Exports,partner,175367623958.881,0.1759459007771852,0.1746685983226824,0.09764297463030565,0.06506046505124698,0.058966244932437656,0.5722841837138578,0.9280693654280268,210,0.5722841837138579
Norway,NOR,579,2025,Exports,product,175367623958.881,0.3104662939788593,0.2483555533704564,0.04932061071647417,0.03198905095745813,0.022903035456976653,0.6630345444802247,0.9778939157966782,4370,
Norway,NOR,579,2025,Imports,partner,109870738717.676,0.11917193735442243,0.11773331258221481,0.09987676026538428,0.0708315046314418,0.041966383327148804,0.4495798981606121,0.8880605106451245,210,0.4495798981606121
