flow,product_id
Exports,HS1992:271210
Exports,HS1992:271220
Exports,HS1992:271290
Exports,HS1992:271311
Exports,HS1992:271312
Exports,HS1992:271320
Exports,HS1992:271390
Exports,HS1992:271410
Exports,HS1992:271490
Exports,HS1992:271500
Exports,HS1992:271600
Exports,HS1992:280110
Exports,HS1992:280120
Exports,HS1992:280130
Exports,HS1992:280200
Exports,HS1992:280300
Exports,HS1992:280410
Exports,HS1992:280421
Exports,HS1992:280429
Exports,HS1992:280430
Exports,HS1992:280440
Exports,HS1992:280450
Exports,HS1992:280461
Exports,HS1992:280469
Exports,HS1992:280470
Exports,HS1992:280480
Exports,HS1992:280490
Exports,HS1992:280511
Exports,HS1992:280519
Exports,HS1992:280521
Exports,HS1992:280522
Exports,HS1992:280530
Exports,HS1992:280540
Exports,HS1992:280610
Exports,HS1992:280620
Exports,HS1992:280700
Exports,HS1992:280800
Exports,HS1992:280910
Exports,HS1992:280920
Exports,HS1992:281000
Exports,HS1992:281111
Exports,HS1992:281119
Exports,HS1992:281121
Exports,HS1992:281122
Exports,HS1992:281123
Exports,HS1992:281129
Exports,HS1992:281210
Exports,HS1992:281290
Exports,HS1992:281310
Exports,HS1992:281390
Exports,HS1992:281410
Exports,HS1992:281420
Exports,HS1992:281511
Exports,HS1992:281512
Exports,HS1992:281520
Exports,HS1992:281530
Exports,HS1992:281610
Exports,HS1992:281620
Exports,HS1992:281630
Exports,HS1992:281700
Exports,HS1992:281810
Exports,HS1992:281820
Exports,HS1992:281830
Exports,HS1992:281910
Exports,HS1992:281990
Exports,HS1992:282010
Exports,HS1992:282090
Exports,HS1992:282110
Exports,HS1992:282120
Exports,HS1992:282200
Exports,HS1992:282300
Exports,HS1992:282410
Exports,HS1992:282420
Exports,HS1992:282490
Exports,HS1992:282510
Exports,HS1992:282520
Exports,HS1992:282530
Exports,HS1992:282540
Exports,HS1992:282550
Exports,HS1992:282560
Exports,HS1992:282570
Exports,HS1992:282580
Exports,HS1992:282590
Exports,HS1992:282611
Exports,HS1992:282612
Exports,HS1992:282619
Exports,HS1992:282620
Exports,HS1992:282630
Exports,HS1992:282690
Exports,HS1992:282710
Exports,HS1992:282720
Exports,HS1992:282731
Exports,HS1992:282732
Exports,HS1992:282733
Exports,HS1992:282734
Exports,HS1992:282735
Exports,HS1992:282736
Exports,HS1992:282737
Exports,HS1992:282738
Exports,HS1992:282739
Exports,HS1992:282741
Exports,HS1992:282749
Exports,HS1992:282751
Exports,HS1992:282759
Exports,HS1992:282760
Exports,HS1992:282810
Exports,HS1992:282890
Exports,HS1992:282911
Exports,HS1992:282919
Exports,HS1992:282990
Exports,HS1992:283010
Exports,HS1992:283020
Exports,HS1992:283030
Exports,HS1992:283090
Exports,HS1992:283110
Exports,HS1992:283190
Exports,HS1992:283210
Exports,HS1992:283220
Exports,HS1992:283230
Exports,HS1992:283311
Exports,HS1992:283319
Exports,HS1992:283321
Exports,HS1992:283322
Exports,HS1992:283323
Exports,HS1992:283324
Exports,HS1992:283325
Exports,HS1992:283326
Exports,HS1992:283327
Exports,HS1992:283329
Exports,HS1992:283330
Exports,HS1992:283340
Exports,HS1992:283410
Exports,HS1992:283421
Exports,HS1992:283422
Exports,HS1992:283429
Exports,HS1992:283510
Exports,HS1992:283521
Exports,HS1992:283522
Exports,HS1992:283523
Exports,HS1992:283524
Exports,HS1992:283525
Exports,HS1992:283526
Exports,HS1992:283529
Exports,HS1992:283531
Exports,HS1992:283539
Exports,HS1992:283610
Exports,HS1992:283620
Exports,HS1992:283630
Exports,HS1992:283640
Exports,HS1992:283650
Exports,HS1992:283660
Exports,HS1992:283670
Exports,HS1992:283691
Exports,HS1992:283692
Exports,HS1992:283693
Exports,HS1992:283699
Exports,HS1992:283711
Exports,HS1992:283719
Exports,HS1992:283720
Exports,HS1992:283800
Exports,HS1992:283911
Exports,HS1992:283919
Exports,HS1992:283920
Exports,HS1992:283990
Exports,HS1992:284011
Exports,HS1992:284019
Exports,HS1992:284020
Exports,HS1992:284030
Exports,HS1992:284110
Exports,HS1992:284120
Exports,HS1992:284130
Exports,HS1992:284140
Exports,HS1992:284150
Exports,HS1992:284160
Exports,HS1992:284170
Exports,HS1992:284180
Exports,HS1992:284190
Exports,HS1992:284210
Exports,HS1992:284290
Exports,HS1992:284310
Exports,HS1992:284321
Exports,HS1992:284329
Exports,HS1992:284330
Exports,HS1992:284390
Exports,HS1992:284410
Exports,HS1992:284420
Exports,HS1992:284430
Exports,HS1992:284440
Exports,HS1992:284450
Exports,HS1992:284510
Exports,HS1992:284590
Exports,HS1992:284610
Exports,HS1992:284690
