year,flow,dimension,variant,countries,rows,median_gini,median_theil,median_hhi,mean_gini,mean_theil,mean_hhi,median_active_count,median_total_trade_value
2004,Exports,product,baseline,148,148,0.9556906394289411,4.905418278220479,0.06386097899216372,0.9456954448646048,4.95457154091537,0.1457834245850978,2343.5,4473799241.5
2005,Exports,product,baseline,150,150,0.9539658132999178,5.034754984760296,0.0712753258406763,0.9462958607685584,4.980622115984764,0.14863484469096377,2406.0,4999673086.519
2006,Exports,product,baseline,150,150,0.9557245236585115,4.964884607069459,0.07209852240264758,0.9478755067947585,4.990874366481551,0.15145357191978384,2508.5,6642435198.0494995
2007,Exports,product,baseline,153,153,0.9527143515002285,4.916499796571429,0.06063924505050124,0.9370166809133885,4.934247128520021,0.1391131875550383,2427.0,7390097340.0
2008,Exports,product,baseline,149,149,0.9548211926040233,4.8020884273852165,0.06085337555039056,0.9453626398390351,4.910755458228104,0.14020922200231745,2528.0,9744527664.0
2009,Exports,product,baseline,150,150,0.9496194097820381,4.798381569244855,0.05626827779049835,0.942100794840626,4.843939311514761,0.1290112574617018,2492.0,7085129779.5
2010,Exports,product,baseline,153,153,0.9538093343931471,4.845658291909164,0.056935136619728724,0.9452348012293816,4.936488569209212,0.14375479757723303,2388.0,8681202648.369999
2011,Exports,product,baseline,150,150,0.956048591448259,4.9794944738925135,0.06541991101318984,0.9466157339490515,4.9469455781320715,0.14276535532645362,2476.5,11389113822.0
2012,Exports,product,baseline,152,152,0.954404011826997,4.877348244658334,0.06424681408837474,0.9460621995789893,4.908495439224707,0.13571385816573442,2535.5,11593505790.5
2013,Exports,product,baseline,154,154,0.9544333215122045,4.886868748872611,0.06559983207726724,0.9465964067289874,4.937289438532508,0.13952812094315997,2689.0,12515367463.0
2014,Exports,product,baseline,153,153,0.9548133679269815,4.966118732273454,0.06651691811779088,0.9454008776920364,4.8898402941734735,0.13306028781204018,2574.0,13033016046.130001
2015,Exports,product,baseline,153,153,0.9578892174024343,4.808202145748915,0.06320360263516438,0.9462020219476188,4.827846394473866,0.126626191454557,2644.0,10741754294.022
2016,Exports,product,baseline,155,155,0.9575184127442595,4.822548084412996,0.060457592512827736,0.9461928876366829,4.839409934542127,0.12426109778829465,2644.0,10538177840.936
2017,Exports,product,baseline,156,156,0.9573712971904009,4.840180795778846,0.05705770653092679,0.9478788513357591,4.841134680997987,0.12397988605295786,2727.0,11094893210.572
2018,Exports,product,baseline,154,154,0.9578166108124126,4.863603304392997,0.061014683159187864,0.9485081670974889,4.8718204934639395,0.13050853944446192,2713.5,11057597917.095
2019,Exports,product,baseline,154,154,0.9600784478501435,4.99848658464156,0.06320170820888205,0.9495488319114569,4.877355587743373,0.13189557534934326,2704.0,11370584600.435
2020,Exports,product,baseline,152,152,0.9596209623894044,4.926975999576587,0.06714079177091159,0.9481519018152408,4.8330993466349055,0.12267737521799837,2663.5,10275464599.967499
2021,Exports,product,baseline,153,153,0.96181604419927,5.004863397846627,0.06416161415654034,0.950613620533492,4.8670424549969,0.12356589480807695,2704.0,13331248583.385002
2022,Exports,product,baseline,150,150,0.962729937361889,5.117989391899517,0.07459817717332384,0.9530273853328911,4.971564234617628,0.1413365364994686,2750.0,15148873842.961998
2023,Exports,product,baseline,149,149,0.9614666756382713,5.113106744642032,0.07675538597684407,0.9522246156306551,4.925425287647226,0.1390626403150977,2783.0,12693949147.874
