metric,rank,country,iso3,reporter_code,year,flow,metric_value,active_count,universe_count,total_trade_value
gini,63,Bahamas,BHS,44,2024,Imports,0.8929920178024238,4705,6891,4736221771.0
gini,64,Azerbaijan,AZE,31,2024,Imports,0.8923842821392771,4514,6891,21008223820.31
gini,65,Ecuador,ECU,218,2024,Imports,0.8908672824368602,4538,6891,28961887390.518
gini,66,Slovakia,SVK,703,2024,Imports,0.8908353398351427,5296,6891,115531447921.938
gini,67,Mauritius,MUS,480,2024,Imports,0.8894030410685649,4438,6891,6649756609.274
gini,68,Luxembourg,LUX,442,2024,Imports,0.8891869905337433,5099,6891,23509235821.187
gini,69,Bermuda,BMU,60,2024,Imports,0.8891034337830839,3951,6891,1124902564.22
gini,70,Hungary,HUN,348,2024,Imports,0.8872306855424084,5196,6891,133039000770.38
gini,71,Panama,PAN,591,2024,Imports,0.8868691276823801,4162,6891,13981644259.0
gini,72,Maldives,MDV,462,2024,Imports,0.8868324478338274,3238,6891,3634394983.2379994
gini,73,El Salvador,SLV,222,2024,Imports,0.8858947877576719,4556,6891,15759361450.61
gini,74,North Macedonia,MKD,807,2024,Imports,0.8852419112386525,4525,6891,11949268396.84
gini,75,Belize,BLZ,84,2024,Imports,0.884413453961443,3608,6891,1452266877.137
gini,76,Greece,GRC,300,2024,Imports,0.8843745242779322,5137,6891,85363893695.582
gini,77,Montenegro,MNE,499,2024,Imports,0.8842129368540756,4272,6891,4398796515.151
gini,78,Qatar,QAT,634,2024,Imports,0.8828064134208851,4274,6891,34609879390.95599
gini,79,Barbados,BRB,52,2024,Imports,0.882342405130607,4062,6891,2123582343.0
gini,80,Guatemala,GTM,320,2024,Imports,0.8823018830145988,4682,6891,32039662152.0
gini,81,Chile,CHL,152,2024,Imports,0.8822150998975251,5023,6891,83446538706.168
gini,82,Australia,AUS,36,2024,Imports,0.8820381666277735,5125,6891,294010309237.51404
gini,83,Tunisia,TUN,788,2024,Imports,0.8819814415900962,4562,6891,26064018250.816
gini,84,Dominican Rep.,DOM,214,2024,Imports,0.8812828543312725,4355,6891,32373547140.362
gini,85,Türkiye,TUR,792,2024,Imports,0.8800288961618046,5207,6891,307392038640.0
gini,86,Belgium,BEL,56,2024,Imports,0.8799566591063999,5484,6891,355824764325.36
