flow,product_id,source_raw_file,classification_code
Exports,210310,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,210320,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,210390,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,210610,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,210690,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,220110,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,220190,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,220210,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,220510,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,220820,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,230230,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,230990,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,240110,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,240120,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,240220,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,240310,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,250100,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,250510,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,250590,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,250820,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251311,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251319,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251400,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251511,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251512,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251520,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251611,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251612,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251621,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251622,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251690,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251710,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,252020,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,252210,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,252220,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,252310,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,252321,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,252329,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,252390,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,260400,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,260800,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,261000,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,261100,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,261690,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,261790,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,261800,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,262090,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,262100,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,270111,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,270112,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,270119,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,270120,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,270400,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,270799,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,270820,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,270900,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,271000,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,271112,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,271290,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,271311,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,271312,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,271320,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,271390,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,271490,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,271500,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,280440,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,280700,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,281119,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,281121,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,281123,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,281290,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,281310,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,281390,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,281511,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,281700,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,282720,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,283311,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,283429,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,283699,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,284390,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,290613,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,293299,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,293627,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,293721,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,300210,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,300220,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,300290,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,300331,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,300339,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,300390,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
